<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сбербанк;1;01.09.2021;11:03:00;329,71;329,74;329,6;329,6;773;0
Сбербанк;1;01.09.2021;11:04:00;329,67;329,69;329,49;329,49;2846;0
Сбербанк;1;01.09.2021;11:05:00;329,49;329,49;329,34;329,43;1028;0
Сбербанк;1;01.09.2021;11:06:00;329,45;329,45;329,3;329,34;493;0
Сбербанк;1;01.09.2021;11:07:00;329,34;329,38;329,3;329,34;751;0
Сбербанк;1;01.09.2021;11:08:00;329,34;329,68;329,3;329,49;6754;0
Сбербанк;1;01.09.2021;11:09:00;329,39;329,47;329,24;329,36;5685;0
Сбербанк;1;01.09.2021;11:10:00;329,25;329,5;329,25;329,4;1488;0
Сбербанк;1;01.09.2021;11:11:00;329,49;329,5;329,34;329,34;863;0
Сбербанк;1;01.09.2021;11:12:00;329,37;329,38;329,26;329,26;442;0
Сбербанк;1;01.09.2021;11:13:00;329,25;329,3;329,14;329,14;1166;0
Сбербанк;1;01.09.2021;11:14:00;329,15;329,25;329;329,01;8247;0
Сбербанк;1;01.09.2021;11:15:00;329,1;329,12;329,01;329,03;257;0
Сбербанк;1;01.09.2021;11:16:00;329,03;329,05;328,74;328,79;12885;0
Сбербанк;1;01.09.2021;11:17:00;328,74;328,77;328,44;328,54;13674;0
Сбербанк;1;01.09.2021;11:18:00;328,45;328,78;328,4;328,62;9046;0
Сбербанк;1;01.09.2021;11:19:00;328,6;328,71;328,55;328,55;4023;0
Сбербанк;1;01.09.2021;11:20:00;328,57;328,67;328,52;328,62;2830;0
Сбербанк;1;01.09.2021;11:21:00;328,62;328,77;328,6;328,74;1435;0
Сбербанк;1;01.09.2021;11:22:00;328,68;328,77;328,67;328,68;387;0
Сбербанк;1;01.09.2021;11:23:00;328,75;328,77;328,58;328,67;6373;0
Сбербанк;1;01.09.2021;11:24:00;328,69;328,69;328,58;328,67;132;0
