<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ГМКНорНик;D;04/08/20;000000;20398;265632
ГМКНорНик;D;05/08/20;000000;20886;352402
ГМКНорНик;D;06/08/20;000000;20842;225282
ГМКНорНик;D;07/08/20;000000;20438;292938
ГМКНорНик;D;10/08/20;000000;20612;211014
ГМКНорНик;D;11/08/20;000000;20426;423761
ГМКНорНик;D;12/08/20;000000;20770;335358
ГМКНорНик;D;13/08/20;000000;20930;385986
ГМКНорНик;D;14/08/20;000000;20786;173887
ГМКНорНик;D;17/08/20;000000;20710;289274
ГМКНорНик;D;18/08/20;000000;20798;214398
ГМКНорНик;D;19/08/20;000000;20500;286291
ГМКНорНик;D;20/08/20;000000;19988;439094
ГМКНорНик;D;21/08/20;000000;19942;310171
ГМКНорНик;D;24/08/20;000000;20000;214052
ГМКНорНик;D;25/08/20;000000;19830;189389
ГМКНорНик;D;26/08/20;000000;19976;269592
ГМКНорНик;D;27/08/20;000000;19670;249050
ГМКНорНик;D;28/08/20;000000;19364;285183
ГМКНорНик;D;31/08/20;000000;19394;402696
ГМКНорНик;D;01/09/20;000000;19930;379657
ГМКНорНик;D;02/09/20;000000;19916;642620
ГМКНорНик;D;03/09/20;000000;19838;276757
ГМКНорНик;D;04/09/20;000000;19924;269139
ГМКНорНик;D;07/09/20;000000;20006;116644
ГМКНорНик;D;08/09/20;000000;19890;285593
ГМКНорНик;D;09/09/20;000000;19708;172050
ГМКНорНик;D;10/09/20;000000;19528;250528
ГМКНорНик;D;11/09/20;000000;19354;309456
ГМКНорНик;D;14/09/20;000000;19492;245148
ГМКНорНик;D;15/09/20;000000;19634;470620
ГМКНорНик;D;16/09/20;000000;19270;687266
ГМКНорНик;D;17/09/20;000000;19370;373103
ГМКНорНик;D;18/09/20;000000;19300;263142
ГМКНорНик;D;21/09/20;000000;18694;449898
ГМКНорНик;D;22/09/20;000000;18758;291365
ГМКНорНик;D;23/09/20;000000;18860;328750
ГМКНорНик;D;24/09/20;000000;18780;258004
ГМКНорНик;D;25/09/20;000000;18888;224679
ГМКНорНик;D;28/09/20;000000;18826;178182
ГМКНорНик;D;29/09/20;000000;18800;171856
ГМКНорНик;D;30/09/20;000000;18762;158029
ГМКНорНик;D;01/10/20;000000;18726;149732
ГМКНорНик;D;02/10/20;000000;18840;286641
ГМКНорНик;D;05/10/20;000000;19282;320850
ГМКНорНик;D;06/10/20;000000;18782;363433
ГМКНорНик;D;07/10/20;000000;18654;261206
ГМКНорНик;D;08/10/20;000000;18924;203877
ГМКНорНик;D;09/10/20;000000;19450;410354
ГМКНорНик;D;12/10/20;000000;19534;323827
ГМКНорНик;D;13/10/20;000000;19604;250932
ГМКНорНик;D;14/10/20;000000;19792;165700
ГМКНорНик;D;15/10/20;000000;19680;206074
ГМКНорНик;D;16/10/20;000000;19682;219166
ГМКНорНик;D;19/10/20;000000;19858;224030
ГМКНорНик;D;20/10/20;000000;20192;318773
ГМКНорНик;D;21/10/20;000000;19828;289889
ГМКНорНик;D;22/10/20;000000;19672;251576
ГМКНорНик;D;23/10/20;000000;19838;198873
ГМКНорНик;D;26/10/20;000000;19514;280464
ГМКНорНик;D;27/10/20;000000;19150;293322
ГМКНорНик;D;28/10/20;000000;18548;377209
ГМКНорНик;D;29/10/20;000000;18998;253387
ГМКНорНик;D;30/10/20;000000;18864;234711
ГМКНорНик;D;02/11/20;000000;19334;225672
ГМКНорНик;D;03/11/20;000000;19512;347173
ГМКНорНик;D;05/11/20;000000;19684;267176
ГМКНорНик;D;06/11/20;000000;20138;341673
ГМКНорНик;D;09/11/20;000000;20590;558981
ГМКНорНик;D;10/11/20;000000;20626;361480
ГМКНорНик;D;11/11/20;000000;20510;328004
ГМКНорНик;D;12/11/20;000000;20448;154165
ГМКНорНик;D;13/11/20;000000;20486;247144
ГМКНорНик;D;16/11/20;000000;20780;242439
ГМКНорНик;D;17/11/20;000000;20602;214306
ГМКНорНик;D;18/11/20;000000;20720;193063
ГМКНорНик;D;19/11/20;000000;20660;169828
ГМКНорНик;D;20/11/20;000000;20734;114727
ГМКНорНик;D;23/11/20;000000;21028;342647
ГМКНорНик;D;24/11/20;000000;21578;279916
ГМКНорНик;D;25/11/20;000000;21460;260985
ГМКНорНик;D;26/11/20;000000;21570;203314
ГМКНорНик;D;27/11/20;000000;21720;215054
ГМКНорНик;D;30/11/20;000000;21476;407664
ГМКНорНик;D;01/12/20;000000;21908;372752
ГМКНорНик;D;02/12/20;000000;22906;566725
ГМКНорНик;D;03/12/20;000000;23136;372246
ГМКНорНик;D;04/12/20;000000;23188;304778
ГМКНорНик;D;07/12/20;000000;23084;185994
ГМКНорНик;D;08/12/20;000000;22842;263926
ГМКНорНик;D;09/12/20;000000;23170;256129
ГМКНорНик;D;10/12/20;000000;24048;392713
ГМКНорНик;D;11/12/20;000000;24056;401829
ГМКНорНик;D;14/12/20;000000;23944;277172
ГМКНорНик;D;15/12/20;000000;23692;243395
ГМКНорНик;D;16/12/20;000000;23378;227105
ГМКНорНик;D;17/12/20;000000;23472;372410
ГМКНорНик;D;18/12/20;000000;23438;341673
ГМКНорНик;D;21/12/20;000000;23400;335995
ГМКНорНик;D;22/12/20;000000;23760;264654
ГМКНорНик;D;23/12/20;000000;23386;221917
ГМКНорНик;D;24/12/20;000000;23220;108829
ГМКНорНик;D;25/12/20;000000;23340;48444
ГМКНорНик;D;28/12/20;000000;23620;136335
ГМКНорНик;D;29/12/20;000000;23528;155817
ГМКНорНик;D;30/12/20;000000;23682;122370
ГМКНорНик;D;04/01/21;000000;24314;267047
ГМКНорНик;D;05/01/21;000000;24676;211539
ГМКНорНик;D;06/01/21;000000;25024;239292
ГМКНорНик;D;08/01/21;000000;26544;621784
ГМКНорНик;D;11/01/21;000000;26290;597993
ГМКНорНик;D;12/01/21;000000;25934;390870
ГМКНорНик;D;13/01/21;000000;25976;256299
ГМКНорНик;D;14/01/21;000000;26432;318172
ГМКНорНик;D;15/01/21;000000;25796;233413
