<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Аэрофлот;W;22/05/17;000000;190,1;15613900
Аэрофлот;W;29/05/17;000000;185,8;15167100
Аэрофлот;W;05/06/17;000000;192,85;11302800
Аэрофлот;W;12/06/17;000000;174,65;21856900
Аэрофлот;W;19/06/17;000000;191,35;27388000
Аэрофлот;W;26/06/17;000000;195,3;14760800
Аэрофлот;W;03/07/17;000000;213;27092700
Аэрофлот;W;10/07/17;000000;212,8;32048100
Аэрофлот;W;17/07/17;000000;208,5;24428600
Аэрофлот;W;24/07/17;000000;203,35;16119500
Аэрофлот;W;31/07/17;000000;205,45;14081100
Аэрофлот;W;07/08/17;000000;202,9;11936300
Аэрофлот;W;14/08/17;000000;212,65;11065000
Аэрофлот;W;21/08/17;000000;204;12502400
Аэрофлот;W;28/08/17;000000;190;39074100
Аэрофлот;W;04/09/17;000000;195,85;26846600
Аэрофлот;W;11/09/17;000000;194,5;23332300
Аэрофлот;W;18/09/17;000000;183,95;50034000
Аэрофлот;W;25/09/17;000000;183,95;31936800
Аэрофлот;W;02/10/17;000000;181;23317900
Аэрофлот;W;09/10/17;000000;180,6;21757300
Аэрофлот;W;16/10/17;000000;182,5;10966700
Аэрофлот;W;23/10/17;000000;182,8;18253900
Аэрофлот;W;30/10/17;000000;162,4;61874800
Аэрофлот;W;06/11/17;000000;163,4;43371100
Аэрофлот;W;13/11/17;000000;164,55;31368300
Аэрофлот;W;20/11/17;000000;159,85;27581600
Аэрофлот;W;27/11/17;000000;148,15;47917100
Аэрофлот;W;04/12/17;000000;144,35;34448200
Аэрофлот;W;11/12/17;000000;143,6;38247500
Аэрофлот;W;18/12/17;000000;138,8;26747800
Аэрофлот;W;25/12/17;000000;138,45;12897600
Аэрофлот;W;01/01/18;000000;147,3;18509000
Аэрофлот;W;08/01/18;000000;145,6;28146400
Аэрофлот;W;15/01/18;000000;138,7;51545400
Аэрофлот;W;22/01/18;000000;134,2;29187400
Аэрофлот;W;29/01/18;000000;133,5;38672800
Аэрофлот;W;05/02/18;000000;139,3;41131500
Аэрофлот;W;12/02/18;000000;137,3;25424800
Аэрофлот;W;19/02/18;000000;140,1;15730500
Аэрофлот;W;26/02/18;000000;152;60008600
Аэрофлот;W;05/03/18;000000;157,45;28406300
Аэрофлот;W;12/03/18;000000;160,5;51664400
Аэрофлот;W;19/03/18;000000;158,35;30505400
Аэрофлот;W;26/03/18;000000;155,6;19440100
Аэрофлот;W;02/04/18;000000;157,3;13108500
Аэрофлот;W;09/04/18;000000;144,85;56483200
Аэрофлот;W;16/04/18;000000;149,4;17902300
Аэрофлот;W;23/04/18;000000;144,85;19128000
Аэрофлот;W;30/04/18;000000;141,65;17573300
Аэрофлот;W;07/05/18;000000;137,5;22713500
Аэрофлот;W;14/05/18;000000;136,75;24947300
Аэрофлот;W;21/05/18;000000;132,2;17578900
Аэрофлот;W;28/05/18;000000;139,65;38966500
Аэрофлот;W;04/06/18;000000;144,35;24748800
Аэрофлот;W;11/06/18;000000;140,5;12871100
Аэрофлот;W;18/06/18;000000;140,55;15300300
Аэрофлот;W;25/06/18;000000;139,8;17071900
Аэрофлот;W;02/07/18;000000;129,55;47893800
Аэрофлот;W;09/07/18;000000;123,25;25548400
Аэрофлот;W;16/07/18;000000;121,45;20871700
Аэрофлот;W;23/07/18;000000;122,2;13221200
Аэрофлот;W;30/07/18;000000;118,1;24813200
Аэрофлот;W;06/08/18;000000;105;38867700
Аэрофлот;W;13/08/18;000000;109;28779100
Аэрофлот;W;20/08/18;000000;104,45;12903500
Аэрофлот;W;27/08/18;000000;115,5;28213000
Аэрофлот;W;03/09/18;000000;108,55;10486000
Аэрофлот;W;10/09/18;000000;105,75;17000900
Аэрофлот;W;17/09/18;000000;111;24041100
Аэрофлот;W;24/09/18;000000;106,55;16834100
Аэрофлот;W;01/10/18;000000;104,65;11490400
Аэрофлот;W;08/10/18;000000;102;15526700
Аэрофлот;W;15/10/18;000000;95,5;22181400
Аэрофлот;W;22/10/18;000000;91,6;20979300
Аэрофлот;W;29/10/18;000000;101,78;36390400
Аэрофлот;W;05/11/18;000000;95,14;21772710
Аэрофлот;W;12/11/18;000000;101,2;28824690
Аэрофлот;W;19/11/18;000000;113,74;50172680
Аэрофлот;W;26/11/18;000000;114,4;48604510
Аэрофлот;W;03/12/18;000000;103,7;39795470
Аэрофлот;W;10/12/18;000000;102,1;26620300
Аэрофлот;W;17/12/18;000000;102,2;26308610
Аэрофлот;W;24/12/18;000000;101,18;15789030
БСП ао;W;05/01/15;000000;26,15;69020
БСП ао;W;12/01/15;000000;24,85;283400
БСП ао;W;19/01/15;000000;26,25;559030
БСП ао;W;26/01/15;000000;26,1;339200
БСП ао;W;02/02/15;000000;25,2;510220
БСП ао;W;09/02/15;000000;28,75;1506820
БСП ао;W;16/02/15;000000;32,4;767410
БСП ао;W;23/02/15;000000;33,25;369210
БСП ао;W;02/03/15;000000;34,85;463400
БСП ао;W;09/03/15;000000;32,95;246930
БСП ао;W;16/03/15;000000;31,15;319230
БСП ао;W;23/03/15;000000;31,8;313130
БСП ао;W;30/03/15;000000;32,2;290010
БСП ао;W;06/04/15;000000;32,75;234850
БСП ао;W;13/04/15;000000;35,4;764420
БСП ао;W;20/04/15;000000;35,6;234830
БСП ао;W;27/04/15;000000;36,95;304400
БСП ао;W;04/05/15;000000;38,6;232940
БСП ао;W;11/05/15;000000;38,4;107700
БСП ао;W;18/05/15;000000;40,7;452740
БСП ао;W;25/05/15;000000;39,85;74390
БСП ао;W;01/06/15;000000;38,45;86270
БСП ао;W;08/06/15;000000;38,35;20910
БСП ао;W;15/06/15;000000;38,5;64500
БСП ао;W;22/06/15;000000;39,1;127680
БСП ао;W;29/06/15;000000;38,15;282540
БСП ао;W;06/07/15;000000;37,55;142660
БСП ао;W;13/07/15;000000;41;335060
БСП ао;W;20/07/15;000000;40;225630
БСП ао;W;27/07/15;000000;39;159680
БСП ао;W;03/08/15;000000;40,1;281340
БСП ао;W;10/08/15;000000;38,4;87840
БСП ао;W;17/08/15;000000;36,75;155960
БСП ао;W;24/08/15;000000;37,4;330340
